Pathway	Ligand	Receptor	Myeloid_Ligand_Exp	Tcell_Receptor_Exp	Myeloid_to_T_Score	Epi_Ligand_Exp	Epi_to_T_Score
TIM3_Axis	LGALS9	HAVCR2	1.9590097144853813	0.19571180641678626	0.3834013300099667	0.3207519796267523	0.06277494934451192
CTLA4_Axis	CD86	CTLA4	1.0044364451239822	0.33667069510410497	0.3381643161677873	0.011004384885827516	0.003704853908704657
TGFb_Axis	TGFB1	TGFBR2	0.9356171274559083	0.31252236230210245	0.29240127488282774	0.20765967079414147	0.064898290871462
PD1_Axis	CD274	PDCD1	0.10464259457251422	0.2960540164292112	0.030979860412766413	0.03144990095231631	0.009310869493234118
